,SUMMARY,SOURCE,DATE,TITLE
,"Kerala Nirmal Lottery NR 197 Today Results: While the first prize winner will bag a whopping Rs 70 lakh, the second and the third winners will get Rs 10 lakh and Rs 1 lakh, respectively.",https://indianexpress.com/article/india/kerala/kerala-nirmal-lottery-nr-197-today-results-first-prize-is-worth-rs-70-lakh-6973929/,"November 6, 2020 1:30:30 pm","
Kerala Nirmal Lottery NR-197 Today Results: First prize is worth Rs 70 lakh!
"
,"Security forces launched a cordon and search operation in Lalpora area of Pampore in the south Kashmir district on Thursday following information about the presence of militants in the area, a police official said.",https://indianexpress.com/article/india/militant-civilian-killed-in-encounter-in-jammu-and-kashmir-pulwama-6977431/," November 6, 2020  1:27:56 pm","
Militant, civilian killed in encounter in Jammu and Kashmir’s Pulwama
"
,"""As per records available with this office, 493 terrorists/civilians and 83 Army officials were killed in Golden Temple area in June, 1984,"" the home ministry further said.",https://indianexpress.com/article/india/operation-blue-star-cic-documents-materials-golden-temple-6976909/," November 6, 2020  12:53:04 pm","
CIC allows Centre to withhold list of documents, precious material seized during Operation Blue Star
"
,"Bipin Rawat said that “in the overall security calculus a full-scale conflict with China is low on probability, however, border confrontations, transgressions and unprovoked tactical military actions spiraling into a larger conflict cannot be discounted”.",https://indianexpress.com/article/india/bipin-rawat-india-china-lac-ladakh-pla-6975839/," November 6, 2020  12:54:51 pm","
Won’t accept change in LAC; collusion between Pakistan, China an omnipresent danger: Bipin Rawat
"
,The Centre has dissolved the Environment Pollution (Prevention and Control) Authority for the NCR (EPCA) to make way for the functioning of the Commission.,https://indianexpress.com/article/india/delhi-ncr-pollution-commission-for-air-quality-management-chairperson-6976041/," November 6, 2020  11:51:18 am","
Former petroleum secretary MM Kutty to head new air quality commission
"
,"In Fatehabad district, the roads were blocked at more than half a dozen places. A farmer leader Mandeep Nathwan claimed the roads were blocked in Sirsa, Fatehabad, Hisar, Rohtak, Jhajjar, Karnal, Jind, Palwal, Rewari, Jhajjar and Nuh districts.",https://indianexpress.com/article/india/farmers-take-time-out-from-sowing-harvesting-to-effect-blockades-6975325/,"November 6, 2020 11:16:24 am","
Farmers take time out from sowing, harvesting to effect blockades
"
,"Hearing the petition of Virender Kumar, who has also sought directions to open the portal, ‘Meri Fasal Mera Byora’, for his registration, the bench of Justice Rajbir Sherawat asked the State to file reply and adjourned the matter for hearing on November 12.",https://indianexpress.com/article/india/farmer-moves-hc-wants-karnal-dcs-order-barring-entry-of-paddy-into-haryana-from-up-quashed-6975220/,"November 6, 2020 10:49:48 am","
Farmer moves HC, wants Karnal DC’s order barring entry of paddy into Haryana from UP quashed
"
,"Kerala has one of the highest burdens of cardiovascular diseases and diabetes in the country, while the health system in the state is considered among the better-performing ones.",https://indianexpress.com/article/india/kerala-medicine-availability-for-cvd-diabetes-falls-short-of-who-80-per-cent-target-6975037/,"November 6, 2020 10:35:06 am","
Kerala: Medicine availability for CVD, diabetes falls short of WHO’s 80% target
"
,The MPs walked out after objecting to the Railway Minister’s remarks accusing the Congress government in Punjab of “instigating” farmers.,https://indianexpress.com/article/india/tempers-flare-as-goyal-accuses-punjab-govt-of-instigating-farmers-6974404/,"November 6, 2020 10:02:23 am","
Tempers flare as Goyal accuses Punjab govt of ‘instigating’ farmers
"
,"While speaking on the Calling Attention Notice on the matter, Abhay slammed the government accusing its top corridors of involved in corruption and demanded a CBI probe into the scandal.",https://indianexpress.com/article/india/abhay-chautala-slams-dushyant-demands-cbi-probe-in-registration-scam-6973770/,"November 6, 2020 9:04:21 am","
Abhay Chautala slams Dushyant, demands CBI probe in ‘registration scam’
"
,The verbal duel between the two ensued in the House as Vidhan Sabha resumed its monsoon session on a day various farmer unions blocked national highways and observed a complete shutdown from 12 noon till 4 pm across Haryana and neighbouring states.,https://indianexpress.com/article/india/hooda-khattar-lock-horns-over-moving-resolution-on-three-central-farm-laws-6973684/,"November 6, 2020 8:53:27 am","
Hooda, Khattar lock horns over moving resolution on three central farm laws
"
,"Coronavirus (Covid-19) India Live News Updates: There are 5,20,773 active cases in India, after a decrease of 7,189 in the last 24 hours.",https://indianexpress.com/article/india/coronavirus-india-news-live-updates-delhi-maharashtra-tamil-nadu-6972154/," November 6, 2020  10:27:24 am","
Coronavirus India News Live Updates: Country’s caseload past 84 lakh with over 47,000 new cases
"
,"""The student community happens to be one of the most vulnerable sections of the society when it comes to these tough times,” Education Minister Adimulapu Suresh said in a statement.",https://indianexpress.com/article/india/andhra-pradesh-coronavirus-latest-update-counselling-stress-students-6971964/," November 6, 2020  6:42:32 am","
Andhra govt to set up counselling cells on campus to tackle stress due to Covid
"
,"Uttar Pradesh Legislative Council has 100 members, out of which maximum i.e, 52, are with the SP, while 19 are with the ruling BJP.",https://indianexpress.com/article/india/notification-out-sp-takes-lead-names-11-candidates-for-mlc-elections-next-month-6970829/,"November 6, 2020 4:59:43 am","
Notification out: SP takes lead, names 11 candidates for MLC elections next month
"
,"A government spokesperson said the decision would cost Rs 1,022 crore to the state exchequer.",https://indianexpress.com/article/india/diwali-boost-up-govt-to-give-30-day-salary-as-bonus-to-15-lakh-employees-in-state-6970757/,"November 6, 2020 4:56:21 am","
Diwali boost: UP govt to give 30-day salary as bonus to 15 lakh employees in state
"
,"A bench of Justices Ashok Bhushan, R Subhash Reddy and M R Shah, which issued the notice, said it will now hear the matter after four weeks.",https://indianexpress.com/article/india/amaravati-land-deals-sc-notice-on-andhra-plea-against-hc-order-6969138/,"November 6, 2020 4:46:06 am","
Amaravati land deals: SC notice on Andhra plea against HC order
"
,"The Centre underlined that after tracing and testing, isolation should be done within three days.",https://indianexpress.com/article/india/centres-delhi-alarm-test-contacts-in-72-hours-use-more-rt-pcr-tests-6969513/," November 6, 2020  9:02:32 am","
Centre’s Delhi alarm: Test contacts in 72 hours, use more RT-PCR tests
"
,Modi said the country’s quest for self-reliance or Aatmanirbhar Bharat is not a vision but a well-planned economic strategy.,https://indianexpress.com/article/india/modi-hardsells-india-advantage-as-he-invites-global-investors-6969427/," November 6, 2020  5:25:44 am","
PM Modi hardsells India advantage as he invites global investors
"
,"Running on rubber tyres but drawing traction power from overhead wires, Metro Neo systems are lighter and smaller than conventional Metro trains.",https://indianexpress.com/article/india/neo-metro-smaller-cities-6969606/," November 6, 2020  9:09:47 am","
Govt plans Metro Neo for low-cost ride in suburbs and smaller cities
"
,"Rajnath Singh mentioned the United States, Japan and Australia — along with India, these three countries make the Quadrilateral grouping or Quad — as countries with whom India now has an enhanced relationship.",https://indianexpress.com/article/india/rajnath-singh-india-china-war-6969767/," November 6, 2020  7:21:10 am","
Rajnath Singh on China talks eve: For peace, need ability to deter war
"
,"The Indian Express investigated entries on the NSP and matched them, one by one, with bank accounts in the Public Finance Management System (PFMS) to find at least 39 beneficiaries under this school's name across Bihar.
",https://indianexpress.com/article/india/assam-bihar-scholarship-scam-6969322/," November 6, 2020  7:20:41 am","
Scholarship scam: Fake beneficiaries in Bihar, KV in Assam used as a front
"
,"Riyaz was apprehended by the Border Security Force (BSF) after he allegedly crossed over to the Indian side of the Indo-Pakistan border in eastern part of the Kutch district on February 12, 2016.",https://indianexpress.com/article/india/pakistani-national-detained-from-kutch-border-dies-6969758/," November 6, 2020  12:18:46 pm","
Pakistani national detained from Kutch border dies
"
,"The Gujarat HC had initiated suo motu criminal contempt proceedings against Oza for raising “accusing fingers” against the court, the court administration and registry during a press conference which was live streamed.",https://indianexpress.com/article/india/yatin-oza-contempt-case-something-must-have-happened-which-perturbed-hc-says-sc-6969686/,"November 6, 2020 3:31:05 am","
Yatin Oza contempt case: Something must have happened which perturbed HC, says SC
"
,"According to police, the body of Amarnath Singh Prasad, a native of Chhapra in Bihar, was found dumped near a bridge over Khari river in Prantij taluka of Sabarkantha on October 19.",https://indianexpress.com/article/india/gujarat-woman-friend-held-for-killing-husband-6969639/,"November 6, 2020 3:25:45 am","
Gujarat: Woman, friend held for ‘killing’ husband
"
,"According to Baranda's colleagues, neighbours and her domestic help, she “always worked on night shift” and lived in a rented apartment in Akota area of Vadodara.",https://indianexpress.com/article/india/probe-on-after-it-firm-employee-found-dead-at-vadodara-residence-6969511/," November 6, 2020  12:10:29 pm","
Probe on after IT firm employee found dead at Vadodara residence
"
